,Name,Vorname,Fraktion/Gruppe,17-198-01,17-201-02,17-201-03,17-201-04,17-201-05,17-201-01,17-205-01,17-205-02,17-207-01,17-207-02,17-208-01,17-209-01,17-211-01,17-211-02,17-212-01,17-213-01,17-213-02,17-213-03,17-213-04,17-213-05,17-214-01,17-214-02,17-214-03,17-214-04,17-214-05,17-214-06,17-215-01,17-217-01,17-219-01,17-225-03,17-225-01,17-225-02,17-225-04,17-225-05,17-226-02,17-226-03,17-226-01,17-229-01,17-234-03,17-234-04,17-234-05,17-234-01,17-234-02,17-237-01,17-237-02,17-240-03,17-240-02,17-240-01,17-242-01,17-243-01,17-244-01,17-246-01,17-246-02,17-247-01,17-250-01,17-250-02,17-250-03,17-250-04,17-250-05,17-250-06,17-250-07,17-250-08,17-250-09,17-251-01
556,Bender,Birgitt,BÜNDNIS`90/DIE GRÜNEN,Abwesend,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
557,Brugger,Agnes,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Enthaltung,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Nein,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
558,Cramon-Taubadel,Viola,BÜNDNIS`90/DIE GRÜNEN,Abwesend,Nein,Abwesend,Abwesend,Abwesend,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Abwesend,Abwesend,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Abwesend,Abwesend,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
559,Deligöz,Ekin,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Abwesend,Abwesend,Abwesend,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Abwesend,Abwesend,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
560,Dörner,Katja,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Enthaltung,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
561,Ebner,Harald,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
562,Fell,Hans-Josef,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Abwesend,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Abwesend,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
563,Gambke,Thomas,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
564,Gehring,Kai,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Abwesend,Abwesend,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
565,Göring-Eckardt,Katrin,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Abwesend,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Abwesend,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Abwesend,Ja,Ja,Ja,Ja,Ja,Ja,Ja
